"Country","Continent","Status","Life_expectancy","Adult_Mortality","infant_deaths","Alcohol","percentage_expenditure","Hepatitis_B","Measles","BMI","under_five_deaths","Polio","Total_expenditure","Diphtheria","HIV_AIDS","GDP","Population","thinness_10_19_years","thinness_5_9_years","Income_composition","Schooling","GDP_log","Population_log","Measles_log","percentage_expenditure_log","infant_deaths_log","under_five_deaths_log","n_years","Mahalanobis_Distance"
"Afghanistan","Asia","Developing",58.19375,269.0625,78.25,0.014375,34.9601100659375,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.01542546875,26513282,16.58125,15.58125,0.415375,8.2125,5.53227187266809,17.0804515875639,7.40697977974774,3.14999101854012,4.36577774814595,4.67899429476018,16,4.30391878326811
"Albania","Europe","Developing",75.15625,45.0625,0.6875,4.84875,193.259090710625,98,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.726678875,2944783.4375,1.61875,1.7,0.709875,12.1375,7.01084433782675,14.8949258306997,2.12089878111157,4.60014093504346,0.476538686634962,0.649825481774949,16,5.61349932635445
"Algeria","Africa","Developing",73.61875,108.1875,20.3125,0.664375,236.185240668625,73.75,1943.875,48.74375,23.5,91.75,4.85375,91.875,0.1,2847.8533923125,34899758.6875,6.09375,5.975,0.694875,12.7125,7.45002431817785,17.3647606301071,4.91904466735268,4.68432056140104,3.05877617404251,3.19825614627898,16,0.93872548386427
"Angola","Africa","Developing",49.01875,328.5625,83.75,5.3825,102.10026837,57.0625,3561.3125,18.01875,132.625,46.125,3.85125,47.6875,2.36875,1975.14304511875,21566693.625,6.19375,6.66875,0.458375,8.04375,7.09472852974417,16.8719155249544,7.20615048992257,3.90540657088148,4.43102334608337,4.8817652461933,16,18.3050027286525
"Antigua and Barbuda","North America","Developing",75.05625,127.5,0,8.020625,1001.58522632875,98.125,0,38.425,0,96.9375,4.903125,98.3125,0.125,9759.305728125,82423.125,3.425,3.375,0.488625,8.84375,8.95845056005403,11.3180497895483,0,5.98716318513142,0,0,16,16.405192802121
"Argentina","South America","Developing",75.15625,106,10.125,8.230625,773.038981313125,76.9375,2,54.98125,11.375,93.375,6.861875,92.375,0.1,6998.575103125,40281725.9375,1.075,0.95,0.794125,16.50625,8.37745875080379,17.5102757086872,0.587539381151207,5.93943986398571,2.40143123004543,2.50866222334633,16,3.7257255448661
"Armenia","Asia","Developing",73.4,117.375,1,4.0375,131.0074187505,87.5625,274.25,44.70625,1,89.125,5.154375,87.375,0.1,1999.98631765,3103206.25,2.0375,2.1125,0.698375,11.7875,7.06738598664777,14.9476591086342,2.67786506677529,4.07911318526558,0.693147180559945,0.693147180559945,16,1.85898531865798
"Australia","Oceania","Developed",81.8125,63.1875,1,10.038125,5332.2264727375,88.125,103.9375,55.8625,1.375,86.75,8.648125,86.875,0.1,34637.565046875,21210844.0625,0.66875,0.625,0.918125,20.0375,9.76060923758799,16.8674553974844,4.1053820896771,7.41164772236113,0.693147180559945,0.845196596100507,16,9.7528872545813
"Austria","Europe","Developed",81.48125,65.75,0,12.025,4928.4391880525,81.0625,77.25,48.2875,0,86,4.995625,86.75,0.1,33827.47630875,8296243.5625,1.73125,1.9375,0.862375,15.3875,9.88906557442878,15.9310896843536,3.00938929598318,7.48785862974309,0,0,16,4.45175125285887
"Azerbaijan","Asia","Developing",70.73125,115.1875,6.0625,1.23875,131.148746914813,61.5625,598.1875,43.84375,7.1875,75.8125,5.544375,82.3125,0.1,3302.94780699375,8760319.5,2.9,2.94375,0.7026875,11.35,7.24571929623178,15.9839629735121,3.3638359445171,4.11177168608101,1.94279440396188,2.08659012423343,16,2.47988163284327
